,season,episode,category,value,clue,answer
15,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",THE GREATEST CANADIANS OF ALL TIME,600,"(Ryan Reynolds delivers the clue.)  With a performing style that was, ah, quirky--he'd hum & sway as he played--this pianist leaped into international acclaim with his 1955 recording of Bach's ""Goldberg Variations""",Glenn Gould
16,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",MATH TO ROMAN NUMERALS TO INITIALS TO NAMES,600,"5% of 4,000 to this author of ""The NUMA Files"" books & other maritime thrillers",Clive Cussler
17,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",WELCOME BACK BOYS!,600,In 2019 this hard rock band led by Maynard James Keenan released its first album in 13 years & it went to No. 1,Tool
18,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",BROADWAY,800,"""The Inheritance"" reimagines this novelist's ""Howards End"" with 3 generations of gay men in 21st century New York City",Forster
19,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",NONSENSE WORDS,800,"In the film ""Gone with the Wind"", this word comes before ""Ashley Wilkes told me he likes to see a girl with a healthy appetite""",fiddle-dee-dee!
20,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",LITERARY TERMS & DEVICES,800,"Greek for ""exaggeration"" gives us this device, an intentionally exaggerated figure of speech",hyperbole
21,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",THE GREATEST CANADIANS OF ALL TIME,800,"(Ryan Reynolds delivers the clue.)  After losing part of his right leg to cancer, he embarked on a Marathon of Hope, running across Canada to raise money to fight cancer; he ran almost a marathon a day for 143 days but stopped short of his goal when the cancer spread to his lungs",(Terry) Fox
22,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",MATH TO ROMAN NUMERALS TO INITIALS TO NAMES,"DD: 1,000","(1,000 / 2) - 350 to this rock singer who was also a 1997 Golden Globe nominee",Courtney Love
23,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",WELCOME BACK BOYS!,800,"In 1985 John Sculley & the tech company's board demoted this co-founder, but he was back in charge in 1997",Steve Jobs
24,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",BROADWAY,1000,"Based on the hit film, this 2019 musical set in Montmartre stars Aaron Tveit & Karen Olivo as the lovers Christian & Satine",Moulin Rouge!
25,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",NONSENSE WORDS,1000,"In ""Jabberwocky"" ""the vorpal blade went"" this sibilant sound",snicker-snack
26,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",LITERARY TERMS & DEVICES,1000,This metrical foot is 2 short or unstressed syllables followed by one long or stressed one,anapest
27,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",THE GREATEST CANADIANS OF ALL TIME,1000,"(Ryan Reynolds delivers the clue.)  A career diplomat, he helped create NATO & the United Nations, won the Nobel Peace Prize for solving the Suez Crisis in 1956 & as the prime minister of Canada, ushered in a little thing we call universal medicare",Lester Pearson
28,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",MATH TO ROMAN NUMERALS TO INITIALS TO NAMES,1000,"102 minus 10 to this Latin bandleader, ""The Rumba King""",Xavier Cugat
29,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",WELCOME BACK BOYS!,1000,"On Dec. 19, 1972 astronauts Cernan, Schmitt & Evans splashed down in the Pacific as this last manned Moon mission came to an end",Apollo 17
30,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",ONCE UPON A TIME IN HOLLYWOOD,400,This alliterative name for a hangout of western movie extras made the news in 1940 when one cowboy gunned down another for real,Gower Gulch
31,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",VICE PRESIDENTS,400,"In the 1990s he was the answer to a famous ""Got Milk?"" commercial",Aaron Burr
32,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020","SURPRISE ME, TREBEK",400,"In July 2019 the approach of one of these was announced only hours before it passed within 45,000 miles of earth",an asteroid
33,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",DISPUTED TERRITORIES,400,"(Sarah of the Clue Crew shows a map on the monitor.)  The ownership of Hans Island, located between Ellesmere Island & Greenland, is disputed; Canada stakes its claim by raising its flag there & leaving bottles of rye, while this other country puts up its flag & leaves bottles of aquavit",Denmark
34,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PURPLE REIGN,400,"At its height in the 1920s & 1930s, the Purple Gang reigned over this large Midwestern city's underworld",Detroit
35,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PHRASES & EXPRESSIONS,400,2 antonyms make up this phrase for a legal case with an obvious verdict,open and shut
36,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",ONCE UPON A TIME IN HOLLYWOOD,800,"The first Academy Awards, held at the Roosevelt Hotel in 1929, saw this war movie winning for ""Outstanding Picture""",Wings
37,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",VICE PRESIDENTS,800,"Before Mike Pence, he was the last vice president from the state of Indiana",Dan Quayle
38,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020","SURPRISE ME, TREBEK",800,"(Conan O'Brien delivers the clue.)  2 of you contestants will love this: the supercomputer Watson come on my show & irritated this sidekick so much, he took Watson to the roof & threw it off",Andy Richter
39,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",DISPUTED TERRITORIES,800,Spain increased controls on its border with this territory after a 2013 dispute with Britain over fishing rights,Gibraltar
40,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PURPLE REIGN,800,"Way back in the 19th century, the football team of this school that's now in the Big Ten was nicknamed ""The Purple""",Northwestern
41,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PHRASES & EXPRESSIONS,800,5-word phrase said when turning down fatty food or folding a poker hand,too rich for my blood
42,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",ONCE UPON A TIME IN HOLLYWOOD,1200,In 1992 Ava Gardner's bloomers & Madonna's bustier were stolen from this business' lingerie museum,Frederick\'s
43,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",VICE PRESIDENTS,1200,Pictured here is Theodore Roosevelt with this veep who gave his name to an Alaska city,Charles Fairbanks
44,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020","SURPRISE ME, TREBEK",1200,"In a 1998 shocker, Jesse Ventura was elected Minnesota governor, becoming this party's first candidate to win statewide office",Reform
45,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",DISPUTED TERRITORIES,1200,This legendary birthplace of Aphrodite has been in dispute between its Greek & Turkish residents for decades now,Cyprus
46,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PURPLE REIGN,1200,"It's the 4-letter title of the Deep Purple Top 10 hit with that ""na-na-na-na"" part","""Hush"""
47,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PHRASES & EXPRESSIONS,1200,"Thomas Carlyle described a leader as ""soft of speech...yet with an inflexible rigor of command"": this metaphor",an iron hand in a velvet glove
48,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",ONCE UPON A TIME IN HOLLYWOOD,1600,Tip your hat to this Vine Street restaurant where it's said Clark Gable proposed to Carole Lombard,the Brown Derby
49,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",VICE PRESIDENTS,1600,"Hubert H. Humphrey had the monogram H.H.H.; for this 19th century veep, it was H.H.",(Hannibal) Hamlin
50,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020","SURPRISE ME, TREBEK","DD: 20,200","This big landlocked African country was surprised to be added to the USA's 2017 travel ban, but was removed from the list in 2018",Chad
51,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",DISPUTED TERRITORIES,1600,"A winter capital of its maharajas, this place is paired with Kashmir in the name of an Indian union territory",Jammu
52,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PURPLE REIGN,1600,"Porphyrogeniture is succession by the 1st son ""born in the purple"", while dad was king; this is succession by the 1st son born anytime",primogeniture
53,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PHRASES & EXPRESSIONS,1600,"In a 1901 novel a girl is seized by a Frenchman & ""perhaps carried off to"" this dreadful destiny",a fate worse than death
54,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",ONCE UPON A TIME IN HOLLYWOOD,2000,In 1961 the Hollywood Palladium on Sunset Blvd. became the longtime home of this N.D.-born man & his orchestra,Lawrence Welk
55,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",VICE PRESIDENTS,"DD: 5,000","In 1900, 3 years after leaving the vice presidency, he welcomed a grandson given the same name, later a candidate for president",Adlai Stevenson
56,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020","SURPRISE ME, TREBEK",2000,A surprise attack at these plains in Quebec in 1759 led to the British gaining control of New France,the Plains of Abraham
57,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",DISPUTED TERRITORIES,2000,"Russia recognizes Abkhazia's independence, declared in 1999, but this country, in which Abkhazia lies, does not",Georgia
58,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PURPLE REIGN,2000,"AKA royal purple, the famed dye named for this Phoenician city was produced during the Bronze Age",Tyre
59,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",PHRASES & EXPRESSIONS,2000,"The fifth & probably smelliest of Hercules' labors, it has come to mean any herculean task",the Augean Stables
60,goattournament,"The Greatest of All Time game #8 - Tuesday, January 14, 2020",SHAKESPEARE'S TRAGEDIES,,"He has 272 speeches, the most of any non-title character in a Shakespeare tragedy",Iago
61,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",MODERN FAMILY,200,"Starbucks uses it to describe a drink such as Frappuccino; in families, it describes one with stepsiblings living together",blended
62,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE BACHELOR,200,"In 1693 this physicist & lifelong bachelor said friend John Locke ""endeavored to embroil me with women""",Newton
63,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE GOOD DOCTOR,200,"He tested his killed polio virus vaccine on himself, but never patented the vaccine or earned any money from its discovery",Jonas Salk
64,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020","BLANK-""ISH""",200,Gory horror movies are not for these people who are easily nauseated,squeamish
65,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",STUMP TOWN,200,"In the names of Iowa cities, this tree precedes Falls & Rapids",Cedar
66,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",KNIGHT LINE,200,"""A verray parfit gentil knight"" describes one of a cast of characters created by this poet",Chaucer
67,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",MODERN FAMILY,400,"Under the Affordable Care Act, dependent children are covered by mom or dad's health insurance until they reach this age",26
68,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE BACHELOR,400,"When fiancee Ann Coleman died soon after breaking off their engagement in 1819, this man returned to politics & never married",(James) Buchanan
69,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE GOOD DOCTOR,400,"Getting an M.D. at 17, he later joined the Army Medical Corps, where he figured out the cause of yellow fever",(Walter) Reed
70,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020","BLANK-""ISH""",400,To add fake details to a real story to make it sound better,embellish
71,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",STUMP TOWN,400,This Florida coastal town incorporated in 1911 says its name comes from coconuts retrieved from the wreck of the Providencia,Palm Beach
72,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",KNIGHT LINE,400,"""Now, Hal, what time of day is it, lad?"" is this knight's first line of dialogue",Falstaff
73,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",MODERN FAMILY,600,"In world news, this policy whose end was announced in 2015 is estimated to have prevented 400 million births",the one-child policy
74,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE BACHELOR,600,This man was a bachelor during his 3 terms as mayor of New York City from 1978 to 1989,Ed Koch
75,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE GOOD DOCTOR,600,"Le bon docteur René Laënnec invented a monaural version of this instrument, long a staple of the medical kit",a stethoscope
76,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020","BLANK-""ISH""",600,"In a chemical reaction, sulfur combines with silver to create this dark coating",tarnish
77,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",STUMP TOWN,600,The fabulous skiing of Snowmass is about 10 miles west of this city,"Aspen, Colorado"
78,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",KNIGHT LINE,600,"""Where is Becket, the traitor to the king?"" say the knights in this 1935 verse play",Murder in the Cathedral
79,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",MODERN FAMILY,800,"Among 18- to 34-year-olds, 2/3 of Italians live here, as opposed to 1/3 of Germans & Brits",with their parents
80,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE BACHELOR,800,"This unwed artist called his paintings his children & had more than 1,000 with him when he died near Oslo in 1944",(Edvard) Munch
81,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE GOOD DOCTOR,800,In the 1790s this English physician figured out that giving people cowpox would protect them against smallpox,(Edward) Jenner
82,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020","BLANK-""ISH""",800,Estuaries & swamps have this type of water not quite as briny as the ocean,brackish
83,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",STUMP TOWN,800,A 3-letter tree is in the name of this Oregon city known for a Shakespeare festival,Ashland
84,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",KNIGHT LINE,800,"This knight ""blew upon the war-horn in dolor and in pain/ and all the Frenchmen hearkened and the Emperor Charlemagne""",Roland
85,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",MODERN FAMILY,1000,"In U.S. marriages with husband & wife working, this is now the case for 29% of wives, up from 18% in the 1980s",they outearn their husbands
86,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE BACHELOR,1000,The invisible hand of Cupid did not strike this 18th c. Scot who lived with his mother Margaret for much of his life,Adam Smith
87,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE GOOD DOCTOR,"DD: 3,800","A vizier to Djoser, this Egyptian was one of the few mortals to be completely deified & was worshipped as the god of medicine",Imhotep
88,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020","BLANK-""ISH""",1000,"This, another word for a fanfare, means the king has arrived",a flourish
89,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",STUMP TOWN,1000,Poplar Bluff is in Missouri; this tree Bluff is in Arkansas,Pine
90,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",KNIGHT LINE,1000,"The Red Cross Knight is ""pricking on the plaine"" in Book 1 of this long, long 1590 poem (""pricking"" meant spurring a horse)",The Faerie Queene
91,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE WORLD ACCORDING TO KAREEM,400,"(Kareem Abdul-Jabbar delivers the clue.)  I've shared the court with many great players, but one of the best was Oscar Robertson, who as my teammate on the 1971 NBA champion Milwaukee Bucks wore this number appropriate for a point guard",1
92,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",BRITISH STUFF,400,"The Radcliffe this, from a Latin word for a chamber, isn't photo equipment but a reading room at Oxford",Camera
93,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",ALBUMS,400,"With its debut album featuring ""Who Can It Be Now?"", this band went to No. 1 on at least 2 continents",Men at Work
94,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",HISTORY,400,Francis Drake became Sir Francis in April 1581 in the presence of this monarch,Elizabeth I
95,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",JEOPORTMANTEAU!,400,A kyber crystal-powered weapon plus baseball statistics analysis system of Bill James,lightSabermetrics
96,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE ARTS,400,In 1957 Danish architect Jørn Utzon won a contest to design this; his winning entry featured sail-like shells,the Sydney Opera House
97,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE WORLD ACCORDING TO KAREEM,800,"(Kareem Abdul-Jabbar delivers the clue.)  ""Give kids a shot that can't be blocked"" is the mission of my educational foundation for children named for this, my signature basketball move",the skyhook
98,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",BRITISH STUFF,800,"In 2019 the venerable travel firm named for this man suddenly collapsed, stranding 150,000 Brits abroad on holiday",Cook
99,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",ALBUMS,800,"""Follow God"" & ""Closed On Sunday"" are tracks on this 2019 Kanye West album",Jesus Is King
100,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",HISTORY,800,"Making it tough on the pres. seeking re-election, the Dow Jones Industrial Average hit an all-time low of 41.22 in this year",1932
101,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",JEOPORTMANTEAU!,800,"Sentient creature like Olaf or Frosty plus ""the #1 kosher wine brand in America""",snowManischewitz
102,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE ARTS,800,"Ceramicist Beatrice Wood was nicknamed ""The Mama"" of this art movement",Dada
103,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE WORLD ACCORDING TO KAREEM,1200,"(Kareem Abdul-Jabbar delivers the clue.)  My heroes include this man killed in 1770 who's been lauded as ""the first to defy, the first to die"" & ""the first to pour out his blood as a precious libation on the altar of a people's rights""",Crispus Attucks
104,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",BRITISH STUFF,1200,You'll find an amphibian in the name of this classic English dish that features sausage & Yorkshire pudding,toad in the hole
105,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",ALBUMS,1200,"""You go back to her"" but Amy Winehouse goes elsewhere on this title track","""Back To Black"""
106,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",HISTORY,1200,In 1976 a military junta seized power in Argentina not from Eva Peron but from this widow,Isabel Perón
107,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",JEOPORTMANTEAU!,1200,"Small, oblong Chinese citrus fruit plus rhymed verse employed by Omar Khayyam & Nostradamus",a kumquatrain
108,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE ARTS,1200,"In 1605 this Brit wrote ""Advancement of Learning""; the ""Screaming Popes"" is a series by a British artist of the same name",(Francis) Bacon
109,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE WORLD ACCORDING TO KAREEM,1600,(Kareem Abdul-Jabbar delivers the clue.)  As a U.S. cultural ambassador for the State Department I visited several of these Brazilian shanty towns with a Portuguese name & spoke about the importance of education in fighting poverty,favelas
110,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",BRITISH STUFF,1600,This historic center for cutlery making is represented by the Blades in Premier League soccer,Sheffield
111,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",ALBUMS,1600,"""Should I Stay Or Should I Go"" was an appropriate song for this album; soon afterward, Mick Jones left the Clash",Combat Rock
112,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",HISTORY,1600,A heroic last stand at the Battle of Camaron in Mexico holds a special place in the lore of this French group founded in 1831,the Foreign Legion
113,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",JEOPORTMANTEAU!,1600,Gradual increase in the intensity of a musical piece plus a dental professional who specializes in the pulp of your teeth,crescendodontist
114,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE ARTS,"DD: 15,200","In this 1951 play, Serafina's dead husband sports the title ink on his chest",The Rose Tattoo
115,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE WORLD ACCORDING TO KAREEM,2000,"(Kareem Abdul-Jabbar delivers the clue.)  I became a stronger, faster & more intense basketball player through my training with the great Bruce Lee, who pioneered mixed martial arts with the hybrid fighting style he called this, abbreviated JKD",Jeet Kune Do
116,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",BRITISH STUFF,"DD: 4,800","One of Britain's greatest minds was this 19th century physicist & author of ""A Treatise on Electricity and Magnetism""",James Clerk Maxwell
117,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",ALBUMS,2000,"From 1968, the ""Village Green Preservation Society"" album is often considered this British band's masterpiece",The Kinks
118,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",HISTORY,2000,In 1967 part of Nigeria broke off & declared its independence as this land,Biafra
119,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",JEOPORTMANTEAU!,2000,Insidious pandemic culprit of 1918 plus delightfully foamy Italian custard,influenzabaglione
120,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",THE ARTS,2000,"In the movie ""Fur"" Nicole Kidman played this photographer of people on the edge of society",(Diane) Arbus
121,goattournament,"The Greatest of All Time game #7 - Tuesday, January 14, 2020",IT'S ALL GREECE TO ME,,"This area of Greece, home to Pan, is synonymous with a rural paradise; it's a setting for Virgil's shepherd poems the ""Eclogues""",Arcadia
122,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",JANUARY IN HISTORY,200,"It says that on the 1st of January 1863 ""all persons held as slaves... shall be then, thenceforward, and forever free""",the Emancipation Proclamation
123,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",CHRISTOPHER PLUMMER PUDDING,200,"(Christopher Plummer delivers the clue.)  In 2012 at age 82 I became the oldest winner of a competitive acting Oscar; the record for a male actor had stood for 36 years, since this beloved 80-year-old comedian took the honors in 1976 for ""The Sunshine Boys""",(George) Burns
124,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",GEMSTONES! MEET THE GEMSTONES!,200,"Don't be deceived by this, a compound of sulfur & iron whose name comes from the Greek for ""fire""",pyrite
125,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",CYBERSECURITY,200,This type of hacker referred to by a colorful bit of headwear helpfully tests computer systems for vulnerability,white-hat
126,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",JUST THE FACTS,200,"Of the 4 main blood groups, this one is the most common; that group negative is the universal donor",O
127,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020","AN ""OK"" CATEGORY",200,Your matching percentage on this dating site is determined by a complicated algorithm,OK Cupid
128,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",JANUARY IN HISTORY,400,In 1914 this motor company instituted a wage of $5 per day & shortened the work day to 8 hours,Ford
129,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",CHRISTOPHER PLUMMER PUDDING,400,"(Christopher Plummer delivers the clue.)  I've played King Lear, Hamlet, Oedipus, Pizarro; but perhaps my most challenging role, if you could believe it, was in this 1965 movie that for a while was the top-grossing film of all time",The Sound of Music
130,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",GEMSTONES! MEET THE GEMSTONES!,400,This variety of beryl shares its name with a 10-letter color,aquamarine
131,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",CYBERSECURITY,400,A website with a site certificate is one that uses encryption; this letter after http is one sign of it,s
132,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",JUST THE FACTS,400,Real vanilla flavoring comes from certain climbing species of this tropical plant,orchid
133,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020","AN ""OK"" CATEGORY",400,"A 2019 New York Times article says this 2-word phrase ""marks the end of friendly generational relations""","""OK boomer"""
134,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",JANUARY IN HISTORY,600,In Jan. 1900 he got out of Siberian exile; in Jan. 1918 he abolished Russia's assembly & established a dictatorship,Lenin
135,goattournament,"The Greatest of All Time game #6 - Thursday, January 9, 2020",CHRISTOPHER PLUMMER PUDDING,600,"(Christopher Plummer delivers the clue.)  In 1968 I loaned this fellow Canadian the money for a plane ticket from London to L.A. so he could audition for the movie role that would change his life; the movie was ""M*A*S*H""--& I got my money back",Donald Sutherland
